Link,Part Name,Quantity,Unit Cost,Total Cost,Desc.
https://www.digikey.com/en/products/detail/murata-electronics/RDEC71H226MWK1H03B/7362914,RDEC71H226MWK1H03B,1,$1.75,$1.75,22uf cap
https://www.digikey.com/en/products/detail/rubycon/50YXJ22MTA5X11/3134939,50YXJ22MTA5X11,2,$0.23,$0.46,22uf pol cap
https://www.digikey.com/en/products/detail/bourns-inc/RLB0914-150KL/2561356,RLB0914-150KL,1,$0.38,$0.38,15uH inductor
https://www.digikey.com/en/products/detail/tdk/FG28X7R1E105KRT06/5803197,FG28X7R1E105KRT06,1,$1.93,$1.93,1uf cap for LDO
https://www.digikey.com/en/products/detail/vishay-general-semiconductor-diodes-division/SB240S-E3-54/2146197,SB240S-E3/54,1,$0.67,$0.67,Schottky Diode
https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT4K70/1741428,CF14JT4K70,1,$0.27,$0.27,4.7kohm r
https://www.digikey.com/en/products/detail/yageo/MFR-25FBF52-10K2/13221,MFR-25FBF52-10K2,1,$0.42,$0.42,10.2kohm r
https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT75K0/1741505,CF14JT75K0,1,$0.57,$0.57,75kohm r
https://trade.jlcpcb.com/checkout/payMethod/?unionSettleId=6abc479397ef40caa6771d3a5667d1ee&systemType=order_pcb&orderTypes=order_pcb&calType=PRE_CAL&couponDemo=1&spm=Jlcpcb.Partcart.1002,Board Fab,1,$2.00,$2.00,JLCPCB
,Shipping,1,$20.00,$20.00,shipping est.
,Total,,,$132.50,
